ID, start, start-shifted, finish, finish-shifted, elapsed, succeeded
1, 1566722140136, 0, 1566722140492, 356, 356, true
2, 1566722140136, 0, 1566722140503, 367, 367, true
3, 1566722140136, 0, 1566722140500, 364, 364, true
4, 1566722140136, 0, 1566722140502, 366, 366, true
5, 1566722140136, 0, 1566722140503, 367, 367, true
6, 1566722140136, 0, 1566722140503, 367, 367, true
7, 1566722140264, 128, 1566722140489, 353, 225, true
8, 1566722140269, 133, 1566722140490, 354, 221, true
9, 1566722140276, 140, 1566722140489, 353, 213, true
10, 1566722140279, 143, 1566722140490, 354, 211, true
11, 1566722140281, 145, 1566722140491, 355, 210, true
12, 1566722140283, 147, 1566722140493, 357, 210, true
13, 1566722140286, 150, 1566722140494, 358, 208, true
14, 1566722140288, 152, 1566722140494, 358, 206, true
15, 1566722140291, 155, 1566722140495, 359, 204, true
16, 1566722140294, 158, 1566722140499, 363, 205, true
17, 1566722140296, 160, 1566722140501, 365, 205, true
18, 1566722140301, 165, 1566722140510, 374, 209, true
19, 1566722140321, 185, 1566722140531, 395, 210, true
20, 1566722140324, 188, 1566722140529, 393, 205, true
21, 1566722140330, 194, 1566722140534, 398, 204, true
22, 1566722140332, 196, 1566722140538, 402, 206, true
23, 1566722140334, 198, 1566722140539, 403, 205, true
24, 1566722140336, 200, 1566722140543, 407, 207, true
25, 1566722140336, 200, 1566722140543, 407, 207, true
26, 1566722140338, 202, 1566722140563, 427, 225, true
27, 1566722140340, 204, 1566722140563, 427, 223, true
28, 1566722140340, 204, 1566722140563, 427, 223, true
29, 1566722140342, 206, 1566722140570, 434, 228, true
30, 1566722140343, 207, 1566722140571, 435, 228, true
31, 1566722140344, 208, 1566722140569, 433, 225, true
32, 1566722140345, 209, 1566722140567, 431, 222, true
33, 1566722140347, 211, 1566722140568, 432, 221, true
34, 1566722140347, 211, 1566722140567, 431, 220, true
35, 1566722140349, 213, 1566722140565, 429, 216, true
36, 1566722140350, 214, 1566722140564, 428, 214, true
37, 1566722140352, 216, 1566722140565, 429, 213, true
38, 1566722140354, 218, 1566722140564, 428, 210, true
39, 1566722140357, 221, 1566722140564, 428, 207, true
40, 1566722140358, 222, 1566722140571, 435, 213, true
41, 1566722140359, 223, 1566722140572, 436, 213, true
42, 1566722140361, 225, 1566722140571, 435, 210, true
43, 1566722140365, 229, 1566722140578, 442, 213, true
44, 1566722140367, 231, 1566722140581, 445, 214, true
