ID, start, start-shifted, finish, finish-shifted, elapsed, succeeded
1, 1566722018720, 0, 1566722019106, 386, 386, true
2, 1566722018720, 0, 1566722019131, 411, 411, true
3, 1566722018720, 0, 1566722019117, 397, 397, true
4, 1566722018720, 0, 1566722019106, 386, 386, true
5, 1566722018720, 0, 1566722019120, 400, 400, true
6, 1566722018721, 1, 1566722019100, 380, 379, true
7, 1566722018776, 56, 1566722019100, 380, 324, true
8, 1566722018816, 96, 1566722019100, 380, 284, true
9, 1566722018820, 100, 1566722019098, 378, 278, true
10, 1566722018821, 101, 1566722019100, 380, 279, true
11, 1566722018822, 102, 1566722019099, 379, 277, true
12, 1566722018824, 104, 1566722019099, 379, 275, true
13, 1566722018825, 105, 1566722019099, 379, 274, true
14, 1566722018826, 106, 1566722019098, 378, 272, true
15, 1566722018827, 107, 1566722019104, 384, 277, true
16, 1566722018828, 108, 1566722019099, 379, 271, true
17, 1566722018845, 125, 1566722019100, 380, 255, true
18, 1566722018862, 142, 1566722019105, 385, 243, true
19, 1566722018880, 160, 1566722019103, 383, 223, true
20, 1566722018895, 175, 1566722019103, 383, 208, true
21, 1566722018899, 179, 1566722019105, 385, 206, true
22, 1566722018901, 181, 1566722019110, 390, 209, true
23, 1566722018901, 181, 1566722019110, 390, 209, true
24, 1566722018903, 183, 1566722019110, 390, 207, true
25, 1566722018904, 184, 1566722019110, 390, 206, true
26, 1566722018905, 185, 1566722019112, 392, 207, true
27, 1566722018906, 186, 1566722019110, 390, 204, true
28, 1566722018907, 187, 1566722019113, 393, 206, true
29, 1566722018907, 187, 1566722019112, 392, 205, true
30, 1566722018909, 189, 1566722019114, 394, 205, true
31, 1566722018909, 189, 1566722019114, 394, 205, true
32, 1566722018911, 191, 1566722019116, 396, 205, true
33, 1566722018911, 191, 1566722019115, 395, 204, true
34, 1566722018912, 192, 1566722019116, 396, 204, true
35, 1566722018914, 194, 1566722019122, 402, 208, true
36, 1566722018914, 194, 1566722019117, 397, 203, true
37, 1566722018916, 196, 1566722019120, 400, 204, true
38, 1566722018917, 197, 1566722019120, 400, 203, true
39, 1566722018918, 198, 1566722019122, 402, 204, true
40, 1566722018918, 198, 1566722019122, 402, 204, true
41, 1566722018920, 200, 1566722019128, 408, 208, true
42, 1566722018920, 200, 1566722019127, 407, 207, true
43, 1566722018921, 201, 1566722019127, 407, 206, true
44, 1566722018922, 202, 1566722019129, 409, 207, true
45, 1566722018924, 204, 1566722019129, 409, 205, true
46, 1566722018924, 204, 1566722019128, 408, 204, true
47, 1566722018926, 206, 1566722019135, 415, 209, true
48, 1566722018926, 206, 1566722019135, 415, 209, true
49, 1566722018928, 208, 1566722019135, 415, 207, true
50, 1566722018928, 208, 1566722019136, 416, 208, true
51, 1566722018930, 210, 1566722019137, 417, 207, true
52, 1566722018930, 210, 1566722019137, 417, 207, true
53, 1566722018931, 211, 1566722019139, 419, 208, true
54, 1566722018932, 212, 1566722019137, 417, 205, true
55, 1566722018934, 214, 1566722019139, 419, 205, true
56, 1566722018934, 214, 1566722019139, 419, 205, true
57, 1566722018936, 216, 1566722019140, 420, 204, true
58, 1566722018938, 218, 1566722019143, 423, 205, true
59, 1566722018938, 218, 1566722019142, 422, 204, true
60, 1566722018939, 219, 1566722019144, 424, 205, true
61, 1566722018940, 220, 1566722019144, 424, 204, true
62, 1566722018942, 222, 1566722019147, 427, 205, true
63, 1566722018942, 222, 1566722019148, 428, 206, true
64, 1566722018943, 223, 1566722019148, 428, 205, true
65, 1566722018944, 224, 1566722019149, 429, 205, true
66, 1566722018946, 226, 1566722019153, 433, 207, true
67, 1566722018946, 226, 1566722019153, 433, 207, true
68, 1566722018948, 228, 1566722019154, 434, 206, true
69, 1566722018948, 228, 1566722019155, 435, 207, true
70, 1566722018950, 230, 1566722019155, 435, 205, true
71, 1566722018951, 231, 1566722019154, 434, 203, true
72, 1566722018952, 232, 1566722019156, 436, 204, true
73, 1566722018952, 232, 1566722019156, 436, 204, true
74, 1566722018954, 234, 1566722019162, 442, 208, true
75, 1566722018954, 234, 1566722019163, 443, 209, true
76, 1566722018956, 236, 1566722019160, 440, 204, true
77, 1566722018957, 237, 1566722019160, 440, 203, true
78, 1566722018958, 238, 1566722019162, 442, 204, true
79, 1566722018959, 239, 1566722019163, 443, 204, true
80, 1566722018960, 240, 1566722019165, 445, 205, true
81, 1566722018961, 241, 1566722019165, 445, 204, true
82, 1566722018962, 242, 1566722019169, 449, 207, true
83, 1566722018963, 243, 1566722019169, 449, 206, true
84, 1566722018964, 244, 1566722019168, 448, 204, true
85, 1566722018965, 245, 1566722019169, 449, 204, true
86, 1566722018966, 246, 1566722019171, 451, 205, true
87, 1566722018967, 247, 1566722019172, 452, 205, true
88, 1566722018968, 248, 1566722019174, 454, 206, true
89, 1566722018969, 249, 1566722019175, 455, 206, true
90, 1566722018971, 251, 1566722019176, 456, 205, true
91, 1566722018971, 251, 1566722019176, 456, 205, true
